user_id,favorite_song_1,favorite_song_2,favorite_song_3,favorite_song_4,favorite_song_5,favorite_song_6,favorite_song_7,favorite_song_8,favorite_song_9,favorite_song_10,favorite_song_11,favorite_song_12,favorite_song_13,favorite_song_14,favorite_song_15,favorite_song_16,favorite_song_17,favorite_song_18,favorite_song_19,favorite_song_20
1,53,248,339,376,879,1117,1508,2125,2372,2461,3043,3258,3429,3431,3644,3817,3869,4106,4478,5009
2,1333,2808,4111,5087,5216,7742,1766,3344,3629,5365,2546,1194,2031,3698,932,1067,1071,1138,1250,1361
3,257,428,564,884,1003,1170,1220,1330,1725,2197,2382,2396,2459,2477,3066,3930,4746,5160,5492,6041
4,353,374,1422,1747,1751,1874,1972,2213,2818,2860,2945,3509,3807,3866,4732,5129,5160,5369,5546,6229
5,581,811,1127,1532,2026,2971,3315,3528,3567,3718,3975,4024,4061,4161,4802,5122,5262,5473,6194,6600
6,120,292,1581,2040,2398,3289,3339,4221,4231,4373,5131,5702,6040,6063,6557,6597,7506,631,1004,1976
7,92,524,631,897,981,1012,1025,1045,1134,1139,1235,1454,1571,1621,2043,2158,2284,2301,2542,2620
8,54,187,260,282,523,1207,1347,1357,1755,2058,2607,2754,3193,3263,3303,3349,3693,4100,4159,4333
9,635,672,708,796,878,1150,1209,1615,1940,2109,2117,2133,2628,2752,2755,3001,3193,3693,4038,4304
10,925,1423,1612,1695,1943,2441,3300,4583,4935,5312,5432,5478,5974,6333,6909,7373,7609,902,1456,5060
11,83,3478,4651,7115,77,2999,3874,5675,1291,3577,1173,5554,6214,6745,257,566,740,1456,2197,3421
12,1007,1456,1739,3395,3439,4551,7033,364,2269,3097,3927,5380,82,183,352,381,499,526,762,1009
13,2191,3718,3745,3845,4260,4581,4736,4940,1858,2518,2568,3528,3746,4103,4300,4718,4766,5012,5625,7389
14,299,3062,3747,5711,6080,292,376,762,1043,1117,1465,1510,1683,1842,2290,2329,2728,2798,3431,3432
15,95,2821,1594,7493,894,1007,1235,1373,1438,1669,2121,25,5190,3552,30,248,772,1217,1675,1720
16,330,909,1340,1803,1986,2194,5743,6595,4102,867,980,1766,2272,2620,2838,3153,4269,4410,4903,5163
