user,favorite_song_1,favorite_song_2,favorite_song_3,favorite_song_4,favorite_song_5,favorite_song_6,favorite_song_7,favorite_song_8,favorite_song_9,favorite_song_10,favorite_song_11,favorite_song_12,favorite_song_13,favorite_song_14,favorite_song_15,favorite_song_16,favorite_song_17,favorite_song_18,favorite_song_19,favorite_song_20
00055176fea33f6e027cd3302289378b,21 Guns,All About That Bass,American Idiot,Animals,Break Your Little Heart,Centuries,"Dear Maria, Count Me In",First Date,Girlfriend,Good Life,I Miss You,Impossible,Jasey Rae,Jealous,La La Land,Life Of The Party,Lips Are Movin,Made In The USA,My Songs Know What You Did In The Dark (Light Em Up),Photograph
000c11a16c89aa4b14b328080f5954ee,Counting Stars,"Hold On, We're Going Home",Magic,Pompeii,Quiero Ver,Your Body Is a Wonderland,Drop It Like It's Hot,Irreplaceable,La Calle De Las Sirenas,Ride Wit Me,Gush,Clarity,Fantasy,Latch,Bubbly,Cannonball,Caraluna,Chartreuse,Come Alive (feat. Toro y Moi),Crimen
00123e0f544dee3ab006aa7f1e5725a7,All Day and All of the Night,Aqualung,Bad Love,Breakfast In America,California Stars,Chocolate Jesus,Cocaine,Cotton Fields,Down On The Corner,Fortunate Son,Give A Little Bit,Give Up The Funk (Tear The Roof Off The Sucker),Good Golly Miss Molly,Goodbye Stranger - 2010 Remastered,I Shot The Sheriff,Locomotive Breath,Oh No,Promises,Run Through The Jungle,Stairway To Heaven
00139e9cb50fb309549e1561b476226d,Analyse,Animal Instinct,Daffodil Lament,Dreaming My Dreams,Dreams,Empty,Everything I Said,Free To Decide,Hollywood,How,I Can't Be With You,Just My Imagination,Liar,Linger,Ode To My Family,Pretty,Promises,Ridiculous Thoughts,Salvation,Sunday
0019363a0d57e94d39988c31eeb8d015,Bailando - Spanish Version,Blurred Lines,Chandelier,Demons,Fancy,I Follow Rivers - The Magician Remix,Instant Crush,Kangaroo Court,Kids,Lean On (feat. MØ & DJ Snake),Lose Yourself to Dance,Love Me Harder,Lovers on the Sun (feat. Sam Martin),Maps,One More Night,Prayer in C - Robin Schulz Radio Edit,Rather Be (feat. Jess Glynne),Royals,Sugar,The Monster
001c4e5b73eca68ee9756bb0c7d2f855,A Little Respect,All The Small Things,Dirty Little Secret,Fast Car,Gives You Hell,In Too Deep,Iris,Meant to Live,Memories (feat. Kid Cudi),Move Along,Pretty Fly (For A White Guy),She Doesn't Mind,Stacy's Mom,Starships,The Great Escape,The Middle,Wild Ones (feat. Sia),Beat It - Single Version,Californication,Everywhere
0025022960e5f0d7d01af5d840014594,808pm At The Beach,Baby Come Back,Beat It - Single Version,Breathe Me,C.R.E.A.M.,Call The Law - Main Version - Explicit,Can I Kick It?,Can't Nobody Hold Me Down (feat. Mase),Changes - Dirty South Remix,Chase,Cold War,Dancing On My Own,Digital Love,Doin' It,Faster,Fly Like An Eagle,Genesis,Get Free,Guitar Man,Hate It Or Love It
002544ea04896444d79d3e4a7e073422,21 Questions,Aerodynamic,All Falls Down,All Of The Lights,Baby By Me,Clint Eastwood,Crazy,Creep,Dreamworld,Feel Good Inc.,"Harder, Better, Faster, Stronger",Hey Ya!,I'm Yours,In Da Club,Indestructible,Is This It,Last Nite,Machu Picchu,Many Men (Wish Death),Money
0028736f2b131fc698d959ca9adddc4b,Beautiful Day,Bendita Tu Luz,Bienvenidos - Live,Blue (Da Ba Dee),Break Your Heart,Chelsea Dagger,Clocks,Do You Want To,Everlong,Fire Burning,Fireflies,Fix You,Have You Ever Seen The Rain,Hey There Delilah,"Hey, Soul Sister",I Gotta Feeling,I'm Yours,Last Nite,Love The Way You Lie,Misery Business
00287ecf491882a40ff34b0fd75a5b16,Brown Eyed Girl,Dakota,Do You Really Want To Hurt Me,Don't You Want Me,Every Breath You Take,Gold,Inbetween Days,Nights In White Satin - Single Version,Paranoid,Relax,Rocket Man (I Think It's Going To Be A Long Long Time),Ruby,Song 2,Tainted Love,Town Called Malice,Whatever You Want,Yellow,Brick House,Dancing Queen,Play That Funky Music
